time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-21 00:00:00+00:00,12,5,25,12
2024-04-22 00:00:00+00:00,2,2,145,28
2024-04-23 00:00:00+00:00,10,4,58,17
2024-04-24 00:00:00+00:00,1,1,84,29
2024-04-25 00:00:00+00:00,6,2,53,13
2024-04-26 00:00:00+00:00,7,3,159,30
2024-04-27 00:00:00+00:00,1,1,30,10
2024-04-28 00:00:00+00:00,11,3,63,14
2024-04-29 00:00:00+00:00,1,1,79,28
2024-04-30 00:00:00+00:00,6,2,69,22
2024-05-01 00:00:00+00:00,10,3,20,10
2024-05-02 00:00:00+00:00,1,1,71,25
2024-05-03 00:00:00+00:00,6,2,46,16
2024-05-04 00:00:00+00:00,2,1,15,7
