time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-04 00:00:00+00:00,40,10,72,14
2026-03-05 00:00:00+00:00,9,5,21,13
2026-03-06 00:00:00+00:00,11,6,6,5
2026-03-07 00:00:00+00:00,8,4,5,5
2026-03-08 00:00:00+00:00,8,4,25,5
2026-03-09 00:00:00+00:00,14,10,25,15
2026-03-10 00:00:00+00:00,8,4,9,7
2026-03-11 00:00:00+00:00,11,7,32,17
2026-03-12 00:00:00+00:00,3,3,46,18
2026-03-13 00:00:00+00:00,8,3,9,8
2026-03-14 00:00:00+00:00,16,7,8,6
2026-03-15 00:00:00+00:00,11,6,11,8
2026-03-16 00:00:00+00:00,12,7,24,14
2026-03-17 00:00:00+00:00,13,4,29,13
