time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-09 00:00:00+00:00,13,6,10,8
2025-08-10 00:00:00+00:00,16,5,7,7
2025-08-11 00:00:00+00:00,16,7,33,15
2025-08-12 00:00:00+00:00,44,11,28,16
2025-08-13 00:00:00+00:00,13,7,76,18
2025-08-14 00:00:00+00:00,14,6,61,17
2025-08-15 00:00:00+00:00,11,4,13,11
2025-08-16 00:00:00+00:00,17,6,16,11
2025-08-17 00:00:00+00:00,8,2,10,6
2025-08-18 00:00:00+00:00,19,7,55,19
2025-08-19 00:00:00+00:00,15,8,9,8
2025-08-20 00:00:00+00:00,12,5,17,7
2025-08-21 00:00:00+00:00,15,8,23,13
2025-08-22 00:00:00+00:00,3,2,25,14
