time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-03 00:00:00+00:00,6.0,2.0,153,14
2023-11-04 00:00:00+00:00,7.0,3.0,25,9
2023-11-05 00:00:00+00:00,2.0,2.0,20,6
2023-11-06 00:00:00+00:00,7.0,3.0,168,26
2023-11-07 00:00:00+00:00,2.0,2.0,36,11
2023-11-08 00:00:00+00:00,7.0,3.0,95,16
2023-11-09 00:00:00+00:00,6.0,2.0,56,16
2023-11-10 00:00:00+00:00,1.0,1.0,12,7
2023-11-11 00:00:00+00:00,6.0,2.0,7,3
2023-11-12 00:00:00+00:00,6.0,2.0,19,12
2023-11-13 00:00:00+00:00,3.0,3.0,43,16
2023-11-14 00:00:00+00:00,6.0,2.0,117,14
2023-11-15 00:00:00+00:00,9.0,4.0,57,20
2023-11-16 00:00:00+00:00,,,46,18
