time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,5,5,17,10
2025-10-13 00:00:00+00:00,11,9,21,13
2025-10-14 00:00:00+00:00,36,9,31,21
2025-10-15 00:00:00+00:00,10,4,55,27
2025-10-16 00:00:00+00:00,5,3,30,18
2025-10-17 00:00:00+00:00,10,5,13,9
2025-10-18 00:00:00+00:00,8,7,15,11
2025-10-19 00:00:00+00:00,9,3,11,7
2025-10-20 00:00:00+00:00,5,4,35,18
2025-10-21 00:00:00+00:00,12,5,22,11
2025-10-22 00:00:00+00:00,1,1,25,13
2025-10-23 00:00:00+00:00,15,9,39,16
2025-10-24 00:00:00+00:00,20,7,26,17
2025-10-25 00:00:00+00:00,4,2,43,16
