time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,30,11,65,41
2026-08-05 00:00:00+00:00,11,10,73,51
2026-08-06 00:00:00+00:00,3,3,23,18
2026-08-07 00:00:00+00:00,22,11,33,19
2026-08-08 00:00:00+00:00,19,10,8,4
2026-08-09 00:00:00+00:00,11,7,10,9
2026-08-10 00:00:00+00:00,7,5,7,5
2026-08-11 00:00:00+00:00,18,8,10,9
2026-08-12 00:00:00+00:00,11,7,17,11
2026-08-13 00:00:00+00:00,5,5,25,13
2026-08-14 00:00:00+00:00,207,204,23,6
2026-08-15 00:00:00+00:00,6,4,5,3
2026-08-16 00:00:00+00:00,24,10,15,11
2026-08-17 00:00:00+00:00,12,6,40,14
