time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-14 00:00:00+00:00,3.0,1.0,16,10
2024-07-15 00:00:00+00:00,4.0,2.0,92,20
2024-07-16 00:00:00+00:00,5.0,3.0,67,22
2024-07-17 00:00:00+00:00,1.0,1.0,70,22
2024-07-18 00:00:00+00:00,2.0,2.0,67,22
2024-07-19 00:00:00+00:00,,,44,22
2024-07-20 00:00:00+00:00,,,22,8
2024-07-21 00:00:00+00:00,1.0,1.0,31,13
2024-07-22 00:00:00+00:00,3.0,1.0,261,24
2024-07-23 00:00:00+00:00,,,41,21
2024-07-24 00:00:00+00:00,6.0,4.0,163,27
2024-07-25 00:00:00+00:00,,,84,29
2024-07-26 00:00:00+00:00,,,43,21
2024-07-27 00:00:00+00:00,,,137,12
