time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-13 00:00:00+00:00,7,3,133,15
2024-04-14 00:00:00+00:00,6,2,12,6
2024-04-15 00:00:00+00:00,5,3,152,25
2024-04-16 00:00:00+00:00,9,4,73,25
2024-04-17 00:00:00+00:00,2,2,82,27
2024-04-18 00:00:00+00:00,12,4,55,19
2024-04-19 00:00:00+00:00,6,2,52,20
2024-04-20 00:00:00+00:00,8,4,17,9
2024-04-21 00:00:00+00:00,12,5,25,12
2024-04-22 00:00:00+00:00,2,2,145,28
2024-04-23 00:00:00+00:00,10,4,58,17
2024-04-24 00:00:00+00:00,1,1,84,29
2024-04-25 00:00:00+00:00,6,2,53,13
2024-04-26 00:00:00+00:00,1,1,155,28
