time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-04 00:00:00+00:00,2.0,2.0,67,13
2024-09-05 00:00:00+00:00,5.0,3.0,99,25
2024-09-06 00:00:00+00:00,3.0,1.0,25,15
2024-09-07 00:00:00+00:00,5.0,3.0,23,11
2024-09-08 00:00:00+00:00,,,71,10
2024-09-09 00:00:00+00:00,,,108,20
2024-09-10 00:00:00+00:00,,,43,12
2024-09-11 00:00:00+00:00,3.0,3.0,108,22
2024-09-12 00:00:00+00:00,3.0,1.0,35,17
2024-09-13 00:00:00+00:00,1.0,1.0,25,11
2024-09-14 00:00:00+00:00,,,18,3
2024-09-15 00:00:00+00:00,2.0,1.0,20,14
2024-09-16 00:00:00+00:00,,,22,8
2024-09-17 00:00:00+00:00,,,55,13
