time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1.0,1.0,46,15
2024-08-29 00:00:00+00:00,,,35,18
2024-08-30 00:00:00+00:00,2.0,2.0,31,18
2024-08-31 00:00:00+00:00,1.0,1.0,29,8
2024-09-01 00:00:00+00:00,2.0,1.0,13,5
2024-09-02 00:00:00+00:00,3.0,3.0,119,18
2024-09-03 00:00:00+00:00,3.0,2.0,45,21
2024-09-04 00:00:00+00:00,2.0,2.0,67,13
2024-09-05 00:00:00+00:00,5.0,3.0,99,25
2024-09-06 00:00:00+00:00,3.0,1.0,25,15
2024-09-07 00:00:00+00:00,5.0,3.0,23,11
2024-09-08 00:00:00+00:00,,,71,10
2024-09-09 00:00:00+00:00,,,108,20
2024-09-10 00:00:00+00:00,,,43,12
